Name,Stats,IIQ,PackSize,IIR,Spawn Weighting
of Flames,4% increased Pack sizeArea has patches of Burning Ground20 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 14 (Hidden),10%,4%,6%,low_tier_map 250expedition_logbook 0primordial_map 0default 0
of Ice,4% increased Pack sizeArea has patches of Chilled Ground20 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 14 (Hidden),10%,4%,6%,low_tier_map 250expedition_logbook 0primordial_map 0default 0
of Desecration,4% increased Pack sizeArea has patches of desecrated ground20 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 14 (Hidden),10%,4%,6%,low_tier_map 250expedition_logbook 0primordial_map 0default 0
of Giants,5% increased Pack sizeMonsters have 45% increased Area of Effect,13%,5%,8%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Deadliness,6% increased Pack sizeMonsters have (160-200)% increased Critical Strike Chance+(30-35)% to Monster Critical Strike Multiplier,16%,6%,9%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Insulation,4% increased Pack sizeMonsters have 30% chance to Avoid Elemental Ailments,10%,4%,6%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Toughness,4% increased Pack sizeMonsters take (25-30)% reduced Extra Damage from Critical Strikes,10%,4%,6%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Smothering,6% increased Pack sizePlayers have 20% less Recovery Rate of Life and Energy Shield,16%,6%,9%,low_tier_map 750expedition_logbook 0primordial_map 0default 0
of Rust,5% increased Pack sizePlayers have 20% reduced Chance to BlockPlayers have 20% less Armour,13%,5%,8%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Miring,5% increased Pack sizePlayers have -10% to amount of Suppressed Spell Damage PreventedMonsters have 30% increased Accuracy Rating,13%,5%,8%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Drought,5% increased Pack sizePlayers gain 30% reduced Flask Charges,13%,5%,8%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Impotence,5% increased Pack sizePlayers have 15% less Area of Effect,13%,5%,8%,low_tier_map 800expedition_logbook 0primordial_map 0default 0
of Lightning,4% increased Pack sizeArea has patches of Shocked Ground which increase Damage taken by 20%20 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 14 (Hidden),10%,4%,6%,low_tier_map 250expedition_logbook 0primordial_map 0default 0
of Consecration,4% increased Pack sizeAreas have patches of Consecrated Ground20 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 14 (Hidden),10%,4%,6%,primordial_map 0low_tier_map 250default 0
of Fatigue,5% increased Pack sizePlayers have 20% less Cooldown Recovery Rate,13%,5%,8%,primordial_map 0low_tier_map 650default 0
of Transience,4% increased Pack sizeBuffs on Players expire 30% faster,10%,4%,6%,primordial_map 0low_tier_map 650default 0
of Doubt,5% increased Pack sizePlayers have 25% reduced effect of Non-Curse Auras from Skills,13%,5%,8%,primordial_map 0low_tier_map 800default 0
of Imprecision,5% increased Pack sizePlayers have 15% less Accuracy Rating,13%,5%,8%,primordial_map 0low_tier_map 800default 0
