Name,Stats,IIQ,PackSize,IIR,Spawn Weighting
Overlord's,6% increased Pack sizeUnique Boss deals 25% increased DamageUnique Boss has 30% increased Attack and Cast Speed,16%,6%,9%,top_tier_map 1000no_boss 0maven_map 0expedition_logbook 0primordial_map 0default 0
Hexproof,6% increased Pack sizeMonsters are Hexproof,16%,6%,9%,top_tier_map 800maven_map 0expedition_logbook 0primordial_map 0default 0
Titan's,5% increased Pack sizeUnique Boss has 35% increased LifeUnique Boss has 70% increased Area of Effect,13%,5%,8%,top_tier_map 1000no_boss 0maven_map 0expedition_logbook 0primordial_map 0default 0
Unwavering,5% increased Pack sizeMonsters cannot be Stunned(25-30)% more Monster Life,13%,5%,8%,top_tier_map 1000maven_map 0expedition_logbook 0primordial_map 0default 0
Freezing,6% increased Pack sizeMonsters deal (90-110)% extra Physical Damage as Cold,16%,6%,9%,top_tier_map 1000maven_map 0expedition_logbook 0primordial_map 0default 0
Savage,7% increased Pack size(22-25)% increased Monster Damage,19%,7%,11%,top_tier_map 1000maven_map 0expedition_logbook 0primordial_map 0default 0
Mirrored,4% increased Pack sizeMonsters reflect 18% of Elemental Damage,10%,4%,6%,top_tier_map 600maven_map 0expedition_logbook 0primordial_map 0default 0
Fleet,7% increased Pack size(25-30)% increased Monster Movement Speed(35-45)% increased Monster Attack Speed(35-45)% increased Monster Cast Speed,19%,7%,11%,top_tier_map 1000maven_map 0expedition_logbook 0primordial_map 0default 0
Burning,6% increased Pack sizeMonsters deal (90-110)% extra Physical Damage as Fire,16%,6%,9%,top_tier_map 1000maven_map 0expedition_logbook 0primordial_map 0default 0
Fecund,5% increased Pack size(40-49)% more Monster Life,13%,5%,8%,top_tier_map 1000maven_map 0expedition_logbook 0primordial_map 0default 0
Shocking,6% increased Pack sizeMonsters deal (90-110)% extra Physical Damage as Lightning,16%,6%,9%,top_tier_map 1000maven_map 0expedition_logbook 0primordial_map 0default 0
Punishing,4% increased Pack sizeMonsters reflect 18% of Physical Damage,10%,4%,6%,top_tier_map 600maven_map 0expedition_logbook 0primordial_map 0default 0
Armoured,5% increased Pack size+40% Monster Physical Damage Reduction,13%,5%,8%,top_tier_map 800maven_map 0expedition_logbook 0primordial_map 0default 0
Resistant,5% increased Pack size+25% Monster Chaos Resistance+40% Monster Elemental Resistance,13%,5%,8%,top_tier_map 800maven_map 0expedition_logbook 0primordial_map 0default 0
Impervious,"4% increased Pack sizeMonsters have a 50% chance to avoid Poison, Impale, and Bleeding",10%,4%,6%,top_tier_map 800maven_map 0expedition_logbook 0primordial_map 0default 0
Empowered,5% increased Pack sizeMonsters have a 20% chance to cause Elemental Ailments on Hit,13%,5%,8%,top_tier_map 800maven_map 0expedition_logbook 0primordial_map 0default 0
Hexwarded,5% increased Pack size60% less effect of Curses on Monsters,13%,5%,8%,top_tier_map 800maven_map 0expedition_logbook 0primordial_map 0default 0
Impaling,6% increased Pack sizeMonsters have 60% chance to Impale with Attacks,16%,6%,9%,primordial_map 0top_tier_map 800default 0
Oppressive,5% increased Pack sizeMonsters have +60% chance to Suppress Spell Damage,13%,5%,8%,primordial_map 0top_tier_map 800default 0
Buffered,5% increased Pack sizeMonsters gain (40-49)% of Maximum Life as Extra Maximum Energy Shield,13%,5%,8%,primordial_map 0top_tier_map 800default 0
