Name,Stats,IIQ,PackSize,IIR,Spawn Weighting
of Flames,4% increased Pack sizeArea has patches of Burning Ground24 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 16 (Hidden),10%,4%,6%,mid_tier_map 250expedition_logbook 0primordial_map 0default 0
of Ice,4% increased Pack sizeArea has patches of Chilled Ground24 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 16 (Hidden),10%,4%,6%,mid_tier_map 250expedition_logbook 0primordial_map 0default 0
of Desecration,4% increased Pack sizeArea has patches of desecrated ground24 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 16 (Hidden),10%,4%,6%,mid_tier_map 250expedition_logbook 0primordial_map 0default 0
of Giants,5% increased Pack sizeMonsters have 70% increased Area of Effect,13%,5%,8%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Deadliness,6% increased Pack sizeMonsters have (260-300)% increased Critical Strike Chance+(36-40)% to Monster Critical Strike Multiplier,16%,6%,9%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Insulation,4% increased Pack sizeMonsters have 50% chance to Avoid Elemental Ailments,10%,4%,6%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Toughness,4% increased Pack sizeMonsters take (31-35)% reduced Extra Damage from Critical Strikes,10%,4%,6%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Elemental Weakness,5% increased Pack sizePlayers are Cursed with Elemental Weakness,13%,5%,8%,mid_tier_map 850expedition_logbook 0primordial_map 0default 0
of Enfeeblement,5% increased Pack sizePlayers are Cursed with Enfeeble,13%,5%,8%,mid_tier_map 850expedition_logbook 0primordial_map 0default 0
of Temporal Chains,5% increased Pack sizePlayers are Cursed with Temporal Chains,13%,5%,8%,mid_tier_map 850expedition_logbook 0primordial_map 0default 0
of Vulnerability,5% increased Pack sizePlayers are Cursed with Vulnerability,13%,5%,8%,mid_tier_map 850expedition_logbook 0primordial_map 0default 0
of Exposure,7% increased Pack size-(8-5)% maximum Player Resistances,19%,7%,11%,mid_tier_map 600expedition_logbook 0primordial_map 0default 0
of Stasis,"6% increased Pack sizePlayers cannot Regenerate Life, Mana or Energy Shield",16%,6%,9%,mid_tier_map 300top_tier_map 600expedition_logbook 0primordial_map 0default 0
of Smothering,6% increased Pack sizePlayers have 40% less Recovery Rate of Life and Energy Shield,16%,6%,9%,mid_tier_map 750expedition_logbook 0primordial_map 0default 0
of Rust,5% increased Pack sizePlayers have 30% reduced Chance to BlockPlayers have 25% less Armour,13%,5%,8%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Miring,5% increased Pack sizePlayers have -15% to amount of Suppressed Spell Damage PreventedMonsters have 40% increased Accuracy Rating,13%,5%,8%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Drought,5% increased Pack sizePlayers gain 40% reduced Flask Charges,13%,5%,8%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Impotence,5% increased Pack sizePlayers have 20% less Area of Effect,13%,5%,8%,mid_tier_map 800expedition_logbook 0primordial_map 0default 0
of Lightning,4% increased Pack sizeArea has patches of Shocked Ground which increase Damage taken by 35%24 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 16 (Hidden),10%,4%,6%,mid_tier_map 250expedition_logbook 0primordial_map 0default 0
of Consecration,4% increased Pack sizeAreas have patches of Consecrated Ground24 patches with Ground Effect per 100 tiles (Hidden)Ground Effect has a radius of 16 (Hidden),10%,4%,6%,primordial_map 0mid_tier_map 250default 0
of Fatigue,5% increased Pack sizePlayers have 30% less Cooldown Recovery Rate,13%,5%,8%,primordial_map 0mid_tier_map 650default 0
of Transience,4% increased Pack sizeBuffs on Players expire 50% faster,10%,4%,6%,primordial_map 0mid_tier_map 650default 0
of Doubt,5% increased Pack sizePlayers have 40% reduced effect of Non-Curse Auras from Skills,13%,5%,8%,primordial_map 0mid_tier_map 800default 0
of Imprecision,5% increased Pack sizePlayers have 20% less Accuracy Rating,13%,5%,8%,primordial_map 0mid_tier_map 800default 0
